id,userId,timestamp,temperature,humidity,lux,sensor_fault,user_override,relay_heater,relay_mist,relay_fan,relay_light
69cabad0070dc2a61c30a2d6,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:02:56.506Z,26.7,45.1,11,false,false,false,true,true,true
69cabaf3070dc2a61c30a2d7,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:03:31.678Z,24.4,61.5,0,false,false,false,true,true,true
69cabafd070dc2a61c30a2d8,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:03:41.677Z,24.4,61.4,0,false,false,false,true,true,true
69cabb07070dc2a61c30a2d9,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:03:51.677Z,24.5,61.5,0,false,false,false,true,true,true
69cabb11070dc2a61c30a2da,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:04:01.675Z,24.5,61.8,0,false,false,false,true,true,true
69cabb1b070dc2a61c30a2db,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:04:11.680Z,24.5,62.1,0,false,false,false,true,true,true
69cabb25070dc2a61c30a2dc,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:04:21.679Z,24.5,62.4,0,false,false,false,true,true,true
69cabb2f070dc2a61c30a2dd,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:04:31.677Z,24.6,62.5,0,false,false,false,true,true,true
69cabb39070dc2a61c30a2de,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:04:41.675Z,24.6,62.6,0,false,false,false,true,true,true
69cabb43070dc2a61c30a2df,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:04:51.676Z,24.6,62.8,0,false,false,false,true,true,true
69cabb4d070dc2a61c30a2e0,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:05:01.675Z,24.6,62.9,0,false,false,false,true,true,true
69cabb57070dc2a61c30a2e1,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:05:11.674Z,24.7,63,0,false,false,false,true,true,true
69cabb61070dc2a61c30a2e2,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:05:21.677Z,24.6,63.2,0,false,false,false,true,true,true
69cabb7f070dc2a61c30a2e3,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:05:51.691Z,24.7,63.7,0,false,false,false,true,true,true
69cabb89070dc2a61c30a2e4,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:06:01.689Z,24.8,63.8,0,false,false,false,true,true,true
69cabb93070dc2a61c30a2e5,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:06:11.689Z,24.8,63.9,0,false,false,false,true,true,true
69cabb9d070dc2a61c30a2e6,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:06:21.690Z,24.8,64,0,false,false,false,true,true,true
69cabba7070dc2a61c30a2e7,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:06:31.690Z,24.8,64.1,0,false,false,false,true,true,true
69cabbb1070dc2a61c30a2e8,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:06:41.689Z,24.8,64.3,0,false,false,false,true,true,true
69cac01eb4e5240b139be04b,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:25:34.994Z,25.7,64,0,false,false,false,true,true,true
69cac027b4e5240b139be04c,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:25:43.812Z,25.7,63.8,0,false,false,false,true,true,true
69cac031b4e5240b139be04d,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:25:53.816Z,25.7,63.5,0,false,false,false,true,true,true
69cac03bb4e5240b139be04e,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:26:03.809Z,25.7,63.1,0,false,false,false,true,true,true
69cac045b4e5240b139be04f,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:26:13.810Z,25.7,62.8,0,false,false,false,true,true,true
69cac04fb4e5240b139be050,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:26:23.811Z,25.7,62.4,0,false,false,false,true,true,true
69cac059b4e5240b139be051,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:26:33.809Z,25.7,61.9,0,false,false,false,true,true,true
69cac063b4e5240b139be052,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:26:43.810Z,25.7,61.6,0,false,false,false,true,true,true
69cac06db4e5240b139be053,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:26:53.817Z,25.7,61.2,0,false,false,false,true,true,true
69cac077b4e5240b139be054,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:27:03.809Z,25.7,61.4,0,false,false,false,true,true,true
69cac081b4e5240b139be055,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:27:13.811Z,25.7,61.2,0,false,false,false,true,true,true
69cac430b4e5240b139be056,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:42:56.547Z,25.9,58.3,0,false,false,false,true,true,true
69cac439b4e5240b139be057,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:43:05.159Z,25.9,58.1,0,false,false,false,true,true,true
69cac443b4e5240b139be058,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:43:15.157Z,25.9,58,0,false,false,false,true,true,true
69cac44db4e5240b139be059,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:43:25.160Z,25.9,58,0,false,false,false,true,true,true
69cac457b4e5240b139be05a,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:43:35.160Z,25.9,58.1,0,false,false,false,true,true,true
69cac461b4e5240b139be05b,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:43:45.159Z,25.8,58.3,0,false,false,false,true,true,true
69cac46bb4e5240b139be05c,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:43:55.162Z,25.8,58.7,0,false,false,false,true,true,true
69cac475b4e5240b139be05d,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:44:05.158Z,25.8,59,0,false,false,false,true,true,true
69cac47fb4e5240b139be05e,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:44:15.159Z,25.8,59.2,0,false,false,false,true,true,true
69cac489b4e5240b139be05f,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:44:25.157Z,25.8,59.4,0,false,false,false,true,true,true
69cac493b4e5240b139be060,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:44:35.158Z,25.8,59.7,0,false,false,false,true,true,true
69cac49db4e5240b139be061,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:44:45.157Z,25.8,60,0,false,false,false,true,true,true
69cac4aab4e5240b139be062,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:44:58.117Z,25.8,60.5,0,false,false,false,true,true,true
69cac4b4b4e5240b139be063,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:45:08.113Z,25.8,60.7,0,false,false,false,true,true,true
69cac4beb4e5240b139be064,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:45:18.112Z,25.8,60.9,0,false,false,false,true,true,true
69cac4c8b4e5240b139be065,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:45:28.113Z,25.8,61.1,0,false,false,false,true,true,true
69cac4d2b4e5240b139be066,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:45:38.114Z,25.8,61.2,0,false,false,false,true,true,true
69cac4dcb4e5240b139be067,67c6fd9a9acfdbc1d05c22b1,2026-03-30T18:45:48.112Z,25.8,61.5,0,false,false,false,true,true,true
